"company_name","company_domain","playbook_name"
"Accudyne Industries","accudyneindustries.com","Defense & Munitions"
"Accurate Energetic Systems, LLC","aesys.biz","Defense & Munitions"
"Ace Electronics","aceelectronics.com","Defense & Munitions"
"Acme Bullet Company","acmebullet.com","Defense & Munitions"
"Adams Arms","adamsarms.net","Defense & Munitions"
"Aero Precision LLC","aeroprecision.com","Defense & Munitions"
"Aero Precision, LLC","aeroprecisionusa.com","Defense & Munitions"
"Aerojet Rocketdyne","rocket.com","Defense & Munitions"
"Aerojet Rocketdyne","aerojetrocketdyne.com","Defense & Munitions"
"Aerojet Rocketdyne","aerojet.com","Defense & Munitions"
"AGS Devices","agsdevices.com","Defense & Munitions"
"Aguila Ammunition","aguila-ammunition.com","Defense & Munitions"
"Allegheny Technologies","atimetals.com","Defense & Munitions"
"Allegiance Ammunition","allegianceammunition.com","Defense & Munitions"
"Alliant Powder","alliantpowder.com","Defense & Munitions"
"Alloy Surfaces Company","alloysurfaces.com","Defense & Munitions"
"Alpha Munitions","alphamunitions.com","Defense & Munitions"
"ALS Technologies","alstechusa.com","Defense & Munitions"
"AM General","amgeneral.com","Defense & Munitions"
"Amentum","amentum.com","Defense & Munitions"
"American Ammunition","a-merc.com","Defense & Munitions"
"American Ordnance LLC","aollc.biz","Defense & Munitions"
"American Ordnance LLC","americanordnance.com","Defense & Munitions"
"American Ordnance LLC","amord.com","Defense & Munitions"
"American Pacific Corporation","ampac.net","Defense & Munitions"
"American Pacific Corporation","americanpacific.com","Defense & Munitions"
"American Rheinmetall Munitions","rheinmetall.com","Defense & Munitions"
"American Rheinmetall Munitions","americanrheinmetall.com","Defense & Munitions"
"American Rheinmetall Munitions Inc.","rheinmetall-us.com","Defense & Munitions"
"American Tactical, Inc.","americantactical.us","Defense & Munitions"
"AMMO Inc","ammo-inc.com","Defense & Munitions"
"Amron International","amroninternational.com","Defense & Munitions"
"AMTEC Less-Lethal Systems","amteclesstlethal.com","Defense & Munitions"
"AMTEC Less-Lethal Systems","amtec-less-lethal.com","Defense & Munitions"
"AMTEC Less-Lethal Systems Inc.","lesslethal.com","Defense & Munitions"
"Anderson Manufacturing","andersonmanufacturing.com","Defense & Munitions"
"Anduril Industries","anduril.com","Defense & Munitions"
"API Technologies Corp.","apitech.com","Defense & Munitions"
"Argon ST (Boeing subsidiary)","argonst.com","Defense & Munitions"
"Armscor USA","armscor.com","Defense & Munitions"
"Armtec Defense Products","armtec-defense.com","Defense & Munitions"
"Armtec Defense Technologies","armtecdefense.com","Defense & Munitions"
"Arotech Corporation","arotech.com","Defense & Munitions"
"Astronics Corporation","astronics.com","Defense & Munitions"
"Atlas Pyrovision Productions","atlaspyrovision.com","Defense & Munitions"
"Atomic Ammunition","atomicammunition.com","Defense & Munitions"
"Austin Powder Company","austinpowder.com","Defense & Munitions"
"Autoliv ASP","autoliv.com","Defense & Munitions"
"Avio USA","avio.com","Defense & Munitions"
"BAE Systems Ordnance Systems","baesystems.com","Defense & Munitions"
"Barnes Bullets","barnesbullets.com","Defense & Munitions"
"Barrett Firearms Mfg, Inc.","barrett.net","Defense & Munitions"
"Bear Creek Arsenal","bearcreekarsenal.com","Defense & Munitions"
"Beartooth Bullets","beartooth.com","Defense & Munitions"
"Benelli USA","benelliusa.com","Defense & Munitions"
"Beretta USA Corp.","berettausa.com","Defense & Munitions"
"Berger Bullets","bergerbullets.com","Defense & Munitions"
"Berry's Manufacturing","berrysmanufacturing.com","Defense & Munitions"
"Black Hills Ammunition","black-hills.com","Defense & Munitions"
"Blazer Ammunition","blazerammo.com","Defense & Munitions"
"Bliss Munitions Equipment","blissmunitions.com","Defense & Munitions"
"Blue Origin","blueorigin.com","Defense & Munitions"
"BLUSA Defense Manufacturing","blusadefense.com","Defense & Munitions"
"Boeing Defense, Space & Security","boeing.com","Defense & Munitions"
"Bond Arms Inc.","bondarms.com","Defense & Munitions"
"BPI Outdoors","bpioutdoors.com","Defense & Munitions"
"Bravo Company MFG","bravocompanymfg.com","Defense & Munitions"
"Brenneke USA","brennekeusa.com","Defense & Munitions"
"Browning","browning.com","Defense & Munitions"
"Buffalo Bore Ammunition","buffalobore.com","Defense & Munitions"
"BWX Technologies Inc.","bwxt.com","Defense & Munitions"
"Byrna Technologies","byrna.com","Defense & Munitions"
"CACI International","caci.com","Defense & Munitions"
"CAES (Cobham Advanced Electronic Solutions)","caes.com","Defense & Munitions"
"Capstone Precision Group","capstonepg.com","Defense & Munitions"
"Carpenter Technology Corporation","cartech.com","Defense & Munitions"
"Carpenter Technology Corporation","carpentechnology.com","Defense & Munitions"
"Castelion","castelion.us","Defense & Munitions"
"CBC Global Ammunition (CBC USA)","cbcglobal-ammunition.com","Defense & Munitions"
"CBC USA","cbcdefense.com","Defense & Munitions"
"CCI Ammunition","cci-ammunition.com","Defense & Munitions"
"Chemring Energetic Devices","tekord.com","Defense & Munitions"
"Chemring Group","chemring.com","Defense & Munitions"
"Chemring Group","chemringgroup.com","Defense & Munitions"
"Chemring Ordnance","chemringordnance.com","Defense & Munitions"
"Christensen Arms","christensenarms.com","Defense & Munitions"
"CIRCOR International","circor.com","Defense & Munitions"
"CMMG Inc.","cmmginc.com","Defense & Munitions"
"Collins Aerospace","collinsaerospace.com","Defense & Munitions"
"Colt Canada","coltcanada.com","Defense & Munitions"
"Colt's Manufacturing Company LLC","colt.com","Defense & Munitions"
"Combined Systems Inc","combinedsystems.com","Defense & Munitions"
"Combined Systems Inc","combined-systems-inc.com","Defense & Munitions"
"Combined Systems Inc.","csiamerica.com","Defense & Munitions"
"Communications & Power Industries (CPI)","cpii.com","Defense & Munitions"
"Cor-Bon","shopcorbon.com","Defense & Munitions"
"COR-BON Ammunition","corbon.com","Defense & Munitions"
"Cor-Bon Ammunition","cor-bon.com","Defense & Munitions"
"CPI Aerostructures","cpiaero.com","Defense & Munitions"
"Cubic Corporation","cubic.com","Defense & Munitions"
"Cutting Edge Bullets","cuttingedgebullets.com","Defense & Munitions"
"Daniel Defense, LLC","danieldefense.com","Defense & Munitions"
"Day & Zimmermann","dayzim.com","Defense & Munitions"
"Day Industries","dayindustries.com","Defense & Munitions"
"Defender Ammunition","defenderammunition.com","Defense & Munitions"
"Defense Technology","defense-technology.com","Defense & Munitions"
"DeLeon Industries","deleonindustries.com","Defense & Munitions"
"Desert Tech Munitions","deserttechmunitions.com","Defense & Munitions"
"Diamondback Firearms","diamondbackfirearms.com","Defense & Munitions"
"Dillon Aero Inc.","dillonaero.com","Defense & Munitions"
"DKC Bullets","dkc-us.com","Defense & Munitions"
"DoubleTap Ammunition","doubletapammo.com","Defense & Munitions"
"DRS RADA Technologies","drsrada.com","Defense & Munitions"
"DS Arms Inc.","dsarms.com","Defense & Munitions"
"Dynamic Research Technologies","drtammo.com","Defense & Munitions"
"Dynetics (Leidos company)","dynetics.com","Defense & Munitions"
"Dyno Nobel","dynobel.com","Defense & Munitions"
"Dyno Nobel","dynonobel.com","Defense & Munitions"
"EaglePicher Technologies","eaglepicher.com","Defense & Munitions"
"Echodyne","echodyne.com","Defense & Munitions"
